State,Lawsuit,AcceptInit,AcceptRenew,AcceptTotal,ApprovedInit,ApprovedRenew,ApproveTotal,Pop16,AcceptPerPop,ApprovedPerPop,MinPer14,PerWhite,PerHisp,PerBlack,PerAsian,Approved PerWhite,Approved PerBlack,Approved PerHisp,Approved PerAsian
Louisiana,O,2421,2499,4920,2049,2219,4268,4681666,0.001050908,0.000911641,0.407,0.593,0.048,0.321,0.017,7197.301855,13295.95016,88916.66667,251058.8235
Maine,N,134,410,544,95,334,429,1331479,0.000408568,0.000322198,0.062,0.938,0.015,0.014,0.012,457.3560768,30642.85714,28600,35750
Maryland,N,11513,12357,23870,9785,10917,20702,6016447,0.003967458,0.003440901,0.474,0.526,0.093,0.293,0.063,39357.41445,70655.2901,222602.1505,328603.1746
Massachusetts,T,9517,12449,21966,7934,10854,18788,6811779,0.003224708,0.002758163,0.257,0.743,0.108,0.068,0.062,25286.67564,276294.1176,173962.963,303032.2581
Michigan,N,7339,8450,15789,6430,7443,13873,9928300,0.001590302,0.001397319,0.242,0.758,0.048,0.139,0.028,18302.11082,99805.7554,289020.8333,495464.2857
Minnesota,T,6930,6898,13828,6255,6236,12491,5519952,0.002505094,0.002262882,0.186,0.814,0.051,0.057,0.046,15345.20885,219140.3509,244921.5686,271543.4783
Mississippi,N,1693,1421,3114,1460,1326,2786,2988726,0.001041916,0.00093217,0.427,0.573,0.03,0.372,0.01,4862.129145,7489.247312,92866.66667,278600
Missouri,N,3883,3747,7630,3524,3407,6931,6093000,0.001252257,0.001137535,0.199,0.801,0.04,0.116,0.019,8652.933833,59750,173275,364789.4737
Montana,N,89,186,275,72,164,236,1042520,0.000263784,0.000226375,0.133,0.867,0.035,0.005,0.008,272.2029988,47200,6742.857143,29500
Nebraska,O,3759,3223,6982,3371,2970,6341,1907116,0.003661025,0.003324916,0.195,0.805,0.102,0.046,0.021,7877.018634,137847.8261,62166.66667,301952.381
Nevada,N,14139,12587,26726,13070,11771,24841,2940058,0.009090297,0.008449153,0.485,0.515,0.278,0.082,0.079,48234.95146,302939.0244,89356.11511,314443.038
New Hampshire,N,450,729,1179,367,599,966,1334795,0.000883282,0.000723707,0.087,0.913,0.033,0.013,0.025,1058.050383,74307.69231,29272.72727,38640
New Jersey,N,25650,28580,54230,22024,25106,47130,8944469,0.006062965,0.005269178,0.432,0.568,0.193,0.129,0.093,82975.35211,365348.8372,244196.8912,506774.1935
New Mexico,T,7410,5557,12967,6815,5236,12051,2081015,0.006231094,0.005790924,0.611,0.389,0.477,0.019,0.014,30979.43445,634263.1579,25264.15094,860785.7143
New York,T,49710,61523,111233,41970,53693,95663,19745289,0.005633394,0.004844852,0.435,0.565,0.186,0.146,0.083,169315.0442,655226.0274,514317.2043,1152566.265
North Carolina,N,29584,23576,53160,27385,22327,49712,10146788,0.005239096,0.004899284,0.359,0.641,0.09,0.214,0.026,77553.82215,232299.0654,552355.5556,1912000
North Dakota,N,130,322,452,98,260,358,757952,0.000596344,0.000472325,0.134,0.866,0.032,0.02,0.012,413.3949192,17900,11187.5,29833.33333
Ohio,N,5249,5895,11144,4442,5124,9566,11614373,0.000959501,0.000823635,0.199,0.801,0.035,0.123,0.02,11942.57179,77772.35772,273314.2857,478300
Oklahoma,N,7488,6157,13645,6865,5771,12636,3923561,0.003477708,0.003220544,0.33,0.67,0.098,0.074,0.02,18859.70149,170756.7568,128938.7755,631800
Oregon,T,12049,10185,22234,11281,9610,20891,4093465,0.005431584,0.0051035,0.23,0.77,0.125,0.018,0.041,27131.16883,1160611.111,167128,509536.5854
Pennsylvania,T,7144,9625,16769,5889,8178,14067,12784227,0.001311694,0.00110034,0.221,0.779,0.066,0.107,0.032,18057.76637,131467.2897,213136.3636,439593.75
Rhode Island,T,1460,1979,3439,1229,1733,2962,1056426,0.003255316,0.002803793,0.255,0.745,0.14,0.056,0.034,3975.838926,52892.85714,21157.14286,87117.64706
South Carolina,O,7150,5702,12852,6406,5382,11788,4961119,0.002590545,0.002376077,0.361,0.639,0.054,0.273,0.015,18447.57433,43179.48718,218296.2963,785866.6667
South Dakota,N,305,377,682,252,311,563,865454,0.000788026,0.000650526,0.17,0.83,0.036,0.018,0.012,678.313253,31277.77778,15638.88889,46916.66667
Tennessee,N,9321,7416,16737,8340,6950,15290,6651194,0.00251639,0.002298835,0.254,0.746,0.05,0.168,0.017,20495.97855,91011.90476,305800,899411.7647
Texas,O,140688,117309,257997,124300,110050,234350,27862596,0.009259618,0.008410918,0.565,0.435,0.386,0.117,0.044,538735.6322,2002991.453,607124.3523,5326136.364
Utah,N,10512,7897,18409,9711,7474,17185,3051217,0.00603333,0.005632179,0.207,0.793,0.135,0.011,0.023,21670.87011,1562272.727,127296.2963,747173.913
Vermont,T,56,192,248,42,162,204,624594,0.000397058,0.000326612,0.065,0.935,0.018,0.011,0.015,218.1818182,18545.45455,11333.33333,13600
Virginia,T,13967,14995,28962,12134,13272,25406,8411808,0.003443017,0.003020278,0.369,0.631,0.089,0.19,0.062,40263.07448,133715.7895,285460.6742,409774.1935
Washington,T,19581,17696,37277,17843,16275,34118,7288000,0.005114846,0.004681394,0.296,0.704,0.122,0.037,0.08,48463.06818,922108.1081,279655.7377,426475
West Virginia,O,144,232,376,117,200,317,1831102,0.000205341,0.00017312,0.075,0.925,0.015,0.035,0.008,342.7027027,9057.142857,21133.33333,39625
Wisconsin,N,8144,6679,14823,7565,6298,13863,5778708,0.002565106,0.002398979,0.178,0.822,0.065,0.063,0.026,16864.9635,220047.619,213276.9231,533192.3077
Wyoming,N,694,563,1257,621,520,1141,585501,0.002146879,0.001948758,0.159,0.841,0.098,0.014,0.009,1356.718193,81500,11642.85714,126777.7778
